Name|Sp|Vmag|B-V|Mv|_RA.icrs|_DE.icrs
GJ 1032 |dM2         | 12.38| 1.53|10.96|01 09 12.7|-24 41 25
GJ 2021 |m           | 14.52|     |13.58|01 09 18.5|-24 30 29
Gl 53.3 |M0 IIIe     |  2.05| 1.57| 0.49|01 09 43.5|+35 37 16
Gl 54   |k           |  9.80| 1.54|10.21|01 10 22.9|-67 26 40
NN 3076 |m           | 14.36|     |14.72|01 11 25.9|+15 26 19
NN 3077 |m           | 12.89| 1.62|11.94|01 11 55.6|+04 55 05
NN 3078 |m           | 13.91| 1.70|12.96|01 11 57.6|+04 54 05
NN 3079 |DAwk        | 14.09|     |14.07|01 12 28.1|-01 51 26
Gl 54.1 |dM5  e      | 12.05| 1.84|14.19|01 12 30.6|-16 59 59
NN 3080 |G5          |  7.28| 0.78| 5.64|01 13 06.4|+41 39 15
GJ 1033 |            | 14.16| 1.58|13.12|01 13 25.3|-22 54 07
NN 3081 |dM2.5       | 13.85| 1.66|12.02|01 14 08.7|-36 56 44
Gl 54.2 |F5 V        |  5.14| 0.45| 3.91|01 14 24.2|-07 55 25
Gl 54.2 |K1 V        |  7.85| 0.78| 6.62|01 14 22.2|-07 54 36
Wo 9046 |G0 V        |  8.47| 0.56| 6.60|01 14 25.3|-41 53 41
NN 3082 |M3          | 11.09| 1.48| 9.87|01 14 35.3|-53 56 54
Gl 54.3 |K0 IV/V     |  9.05| 0.76| 7.43|01 14 41.1|-64 45 48
Gl 55   |F8 V        |  4.96| 0.58| 4.53|01 15 11.2|-45 31 54
Gl 55.1 |K2 V        |  7.80| 0.98| 6.42|01 15 01.3|-68 49 10
Gl 55.1 |            |  8.20|     | 6.80|01 15 01.3|-68 49 10
GJ 1034 |m           | 15.04| 1.84|13.47|01 16 29.7|+24 19 26
Gl 55.2 |dK5         | 10.08| 1.36| 8.20|01 16 39.5|+25 19 56
Gl 55.3 |F6 IV  J    |  4.99| 0.47| 3.50|01 15 46.6|-68 52 35
Gl 55.3 |G5          |  7.20|     | 5.70|01 15 45.6|-68 52 29
GJ 1035 |m           | 14.77| 1.79|14.09|01 19 51.1|+84 09 27
GJ 1036 |m           | 11.42| 1.53|10.42|01 17 15.4|-35 42 57
Gl 56   |K3 V        |  9.77| 1.00| 6.84|01 17 33.6|-15 30 12
NN 3083 |M0.5        | 11.56|     | 9.57|01 17 50.3|+28 40 15
NN 3084 |dM2         | 11.05|     | 9.54|01 17 54.1|+05 28 21
GJ 1037 |DQ6         | 13.82| 0.12|12.84|01 18 00.0|+16 10 20
Gl 56.1 |M3          | 11.76| 1.47|10.03|01 18 16.2|-12 54 00
Gl 56.2 |M1          | 11.55| 1.44| 8.94|01 17 59.2|-48 09 02
Gl 56.3 |K1 V        |  8.00| 0.82| 5.96|01 18 40.8|-00 52 03
Gl 56.3 |M0          | 10.70| 1.41| 8.66|01 18 39.8|-00 52 28
Gl 56.4 |dK8         |  9.66| 1.29| 8.40|01 21 31.3|+80 09 07
NN 3085 |m           | 13.46|     |11.52|01 19 22.6|-26 24 14
NN 3086 |dM0         | 11.39| 1.31| 8.29|01 20 03.2|+38 59 23
NN 3087 |k-m         | 14.35|     |11.25|01 20 04.2|+38 59 35
NN 3088 |m           | 14.20|     |12.21|01 19 51.4|-27 26 49
NN 3089 |dK8         | 10.64| 1.14| 7.54|01 20 33.7|+38 20 00
Gl 56.5 |dK0         |  7.11| 0.82| 5.89|01 21 58.9|+76 42 40
Gl 57   |dM0.5       | 10.14| 1.40| 8.99|01 21 34.9|-41 39 23
NN 3090 |M3          | 11.36| 1.44| 9.67|01 21 45.7|-46 42 53
NN 3091 |K2 V        |  8.30|     | 6.60|01 22 07.7|-26 53 37
NN 3092 |m           | 14.85|     |13.16|01 22 09.7|-26 54 31
NN 3093 |m           | 13.97| 1.76|13.17|01 22 45.2|+00 31 55
NN 3094 |m           | 15.00|     |14.20|01 22 45.2|+00 31 55
NN 3095 |G5          |  7.33|     | 6.43|01 22 57.1|+07 25 09
NN 3096 |m           | 13.05|     |11.32|01 22 46.8|-25 48 17
Gl 57.1 |K0 IV       |  7.85| 0.90| 6.07|01 23 03.0|-12 57 59
Gl 57.1 |dK7   J     | 10.38| 1.38| 8.60|01 23 01.0|-12 57 29
Gl 57.1 |            | 13.10|     |11.30|01 23 01.0|-12 57 29
Wo 9056 |K2          |  8.49| 0.89| 6.08|01 24 53.6|+18 30 03
GJ 1038 |k-m         |  9.80| 1.45| 8.65|01 25 02.3|-32 51 05
NN 3097 |dM3.5       | 13.13| 1.68|12.30|01 25 36.6|+09 45 26
GJ 1039 |DC7         | 14.95| 0.40|13.61|01 25 24.8|-26 00 50
Gl 58.2 |K2 V        |  7.73| 0.96| 6.43|01 29 05.3|+21 43 20
NN 3098 |M1.5        | 11.21| 1.50| 9.75|01 32 26.3|-21 54 22
Gl 59   |G8 V        |  6.97| 0.76| 6.21|01 33 16.0|-24 10 39
Gl 59   |m           | 12.77| 1.30|12.01|01 32 58.0|-24 14 27
Gl 59.1 |G6 V        |  6.53| 0.68| 5.15|01 34 33.1|+68 56 57
NN 3099 |K0/1 V      |  7.84| 0.83| 5.96|01 33 26.5|-43 54 05
Wo 9057 |F8          |  9.56| 0.52| 7.60|01 34 27.0|+34 40 45
NN 3100 |dM0         | 10.99| 1.30| 9.03|01 35 37.3|+42 02 21
Gl 60   |K3 V        |  7.78| 0.92| 6.60|01 35 01.0|-29 54 35
Gl 60   |K4 V        |  8.00|     | 6.80|01 35 01.0|-29 54 35
Gl 60   |M2 V        | 10.40|     | 9.20|01 35 01.0|-29 54 35
NN 3101 |m           | 13.33|     |11.87|01 36 02.1|-26 46 41
Gl 61   |F8 V        |  4.09| 0.54| 2.88|01 36 47.7|+41 24 22
Gl 62   |K0 V        |  8.14| 0.86| 5.92|01 37 08.5|-29 23 36
Gl 63   |dM3         | 11.19| 1.39|10.97|01 38 22.1|+57 13 50
NN 3102 |K7          | 10.50|     | 8.90|01 37 19.7|-49 11 20
Gl 64   |DA7         | 12.84| 0.35|12.39|01 37 59.2|-04 59 45
GJ 1040 |dK8         | 10.84| 1.20| 7.83|01 38 33.3|+44 35 25
NN 3103 |k           | 11.55|     |10.21|01 38 29.7|+00 39 03
Gl 65   |dM5.5e      | 12.57| 1.85|15.47|01 39 01.4|-17 57 02
Gl 65   |dM5.5e      | 12.70|     |15.60|01 39 01.4|-17 57 02
NN 3104 |M5          | 12.83|     |10.89|01 39 31.5|+05 03 30
NN 3105 |m           | 13.91|     |12.84|01 40 16.9|+31 47 28
Gl 65.2 |M0          |  9.86| 1.16| 8.94|01 39 41.3|-46 30 35
NN 3106 |B5          | 10.07| 0.47| 9.50|01 41 09.5|+63 48 45
Wo 9059 |G5 V        |  7.68| 0.68| 5.14|01 41 37.3|+66 54 37
Gl 66   |K2 V        |  5.80| 0.86| 6.66|01 39 47.5|-56 11 42
Gl 66   |K3 V        |  5.90| 0.80| 6.76|01 39 47.5|-56 11 42
Gl 67   |G1.5 V      |  4.95| 0.62| 4.27|01 41 47.4|+42 36 48
Gl 67.1 |G2 V        |  5.88| 0.61| 4.70|01 37 56.0|-82 58 30
Gl 67.2 |G5 V        |  9.30| 0.69| 7.92|01 41 34.0|-45 25 11
Gl 68   |K1 V        |  5.22| 0.84| 5.73|01 42 30.2|+20 16 08
Gl 69   |K5 V        |  8.41| 1.22| 7.79|01 43 40.9|+63 49 24
NN 3107 |m           | 12.02|     |10.08|01 42 38.5|-24 37 56
NN 3108 |K7          | 10.40| 1.46| 8.98|01 43 15.9|+27 50 33
NN 3109 |F8 V        |  5.52| 0.53| 4.14|01 42 29.5|-53 44 23
NN 3110 |M0          | 11.25|     | 9.26|01 42 55.6|-42 12 14
Gl 70   |dM2         | 10.93| 1.54|11.21|01 43 20.5|+04 19 21
NN 3111 |m           | 13.28|     |11.55|01 43 50.1|-23 51 14
NN 3112 |DA7         | 13.88| 0.44|13.37|01 42 57.6|-67 17 58
Gl 71   |G8 Vp       |  3.49| 0.72| 5.77|01 44 04.4|-15 56 14
Gl 73   |M3          | 14.11| 1.67|13.04|01 44 57.8|+16 20 41
Gl 74   |dK8         |  8.90| 1.05| 6.91|01 46 38.3|+12 24 42
Gl 75   |K0 V        |  5.63| 0.81| 5.57|01 47 44.5|+63 51 08
NN 3113 |M3          | 12.99| 1.58|11.77|01 46 36.5|-08 38 59
NN 3114 |M3          | 12.16| 1.58|10.90|01 48 03.6|+21 12 27
Gl 76   |K1 V        |  8.98| 0.81| 5.79|01 47 38.2|-26 45 00
NN 3115 |F8 V        |  5.79| 0.55| 4.24|01 48 44.3|+32 41 27
Gl 77   |G4 V        |  7.14| 0.65| 4.98|01 48 20.8|-41 29 40
Wo 9061 |F3 III      |  4.67| 0.33| 2.68|01 49 35.4|-10 41 12
Wo 9061 |dG1         |  6.77| 0.62| 4.78|01 49 23.4|-10 42 12
NN 3116 |M0          | 10.79| 1.38| 8.70|01 50 28.7|+18 17 41
